id,character_count,word_count,text_density,aspect_ratio,width_px,height_px
overall_rating-00000,,,,0.7067448680351907,723,1023
overall_rating-00001,,,,0.5615234375,575,1024
overall_rating-00002,,,,0.7607421875,779,1024
overall_rating-00003,,,,0.6103515625,625,1024
overall_rating-00004,,,,0.6474609375,663,1024
overall_rating-00005,,,,0.6650390625,681,1024
overall_rating-00006,,,,0.6953125,712,1024
overall_rating-00007,,,,0.7490234375,767,1024
overall_rating-00008,,,,0.505859375,518,1024
overall_rating-00009,,,,0.7060546875,723,1024
overall_rating-00010,,,,0.7568359375,775,1024
overall_rating-00011,,,,0.75,768,1024
overall_rating-00012,,,,0.666015625,682,1024
overall_rating-00013,,,,0.7431640625,761,1024
overall_rating-00014,,,,0.7001953125,717,1024
overall_rating-00015,,,,1.3333333333333333,1024,768
overall_rating-00016,,,,0.708984375,726,1024
overall_rating-00017,,,,0.666015625,682,1024
overall_rating-00018,,,,0.7626953125,781,1024
overall_rating-00019,,,,0.75,768,1024
overall_rating-00020,,,,0.6774193548387096,693,1023
overall_rating-00021,,,,0.7265625,744,1024
overall_rating-00022,,,,0.666015625,682,1024
overall_rating-00023,,,,0.755859375,774,1024
overall_rating-00024,,,,0.70772238514174,724,1023
overall_rating-00025,,,,0.7099609375,727,1024
overall_rating-00026,,,,0.666015625,682,1024
overall_rating-00027,,,,0.7060546875,723,1024
overall_rating-00028,,,,0.703125,720,1024
overall_rating-00029,,,,0.75,768,1024
overall_rating-00030,,,,0.6666666666666666,682,1023
overall_rating-00031,,,,1.0,1024,1024
overall_rating-00032,,,,0.70703125,724,1024
overall_rating-00033,,,,0.802734375,822,1024
overall_rating-00034,,,,0.70703125,724,1024
overall_rating-00035,,,,0.7060546875,723,1024
overall_rating-00036,,,,0.798828125,818,1024
overall_rating-00037,,,,0.681640625,698,1024
overall_rating-00038,,,,0.7919921875,811,1024
overall_rating-00039,,,,0.66796875,684,1024
overall_rating-00040,,,,0.78515625,804,1024
overall_rating-00041,,,,0.5537109375,567,1024
overall_rating-00042,,,,0.7060546875,723,1024
overall_rating-00043,,,,0.70703125,724,1024
overall_rating-00044,,,,0.78515625,804,1024
overall_rating-00045,,,,0.6630859375,679,1024
overall_rating-00046,,,,1.0,1024,1024
overall_rating-00047,,,,0.7060546875,723,1024
overall_rating-00048,,,,0.6767578125,693,1024
overall_rating-00049,,,,0.5263671875,539,1024
overall_rating-00050,,,,0.75,768,1024
overall_rating-00051,,,,0.671875,688,1024
overall_rating-00052,,,,0.8505859375,871,1024
overall_rating-00053,,,,0.8046875,824,1024
overall_rating-00054,,,,0.666015625,682,1024
overall_rating-00055,,,,0.7067448680351907,723,1023
overall_rating-00056,,,,0.5615234375,575,1024
overall_rating-00057,,,,0.666015625,682,1024
overall_rating-00058,,,,0.5166015625,529,1024
overall_rating-00059,,,,0.744140625,762,1024
overall_rating-00060,,,,0.6767578125,693,1024
overall_rating-00061,,,,1.0,1024,1024
overall_rating-00062,,,,0.5625,576,1024
overall_rating-00063,,,,1.0,1024,1024
overall_rating-00064,,,,0.5625,576,1024
