id,score,ranked_changes,best_recommendation,best_feature,best_gain,best_direction,supported_features,feedback_sentence,message
overall_rating-00000,5.594889163970947,"[{""feature"": ""word_count"", ""current_value"": 14.0, ""suggested_value"": 2.0, ""direction"": ""decrease"", ""coupled_feature_updates"": {""word_count"": 2.0, ""char_count"": 10.0, ""text_block_count"": 1.0, ""text_area_frac"": 0.0023347612693081716, ""background_area_frac"": 0.7481158024592639, ""text_share"": 0.009269185173597805, ""text_to_graphic_ratio"": 0.009355906806251878}, ""predicted_score"": 6.408766269683838, ""gain"": 0.8138771057128906}, {""feature"": ""graphic_area_frac"", ""current_value"": 0.2495494362714279, ""suggested_value"": 0.14488246548566117, ""direction"": ""decrease"", ""coupled_feature_updates"": {""graphic_area_frac"": 0.14488246548566117, ""background_area_frac"": 0.8387742056291816, ""text_share"": 0.10136919435836454, ""text_to_graphic_ratio"": 0.11280405003029632}, ""predicted_score"": 6.1608686447143555, ""gain"": 0.5659794807434082}, {""feature"": ""text_area_frac"", ""current_value"": 0.0163433288851572, ""suggested_value"": 0.0011603461371527204, ""direction"": ""decrease"", ""coupled_feature_updates"": {""text_area_frac"": 0.0011603461371527204, ""background_area_frac"": 0.7492902175914193, ""text_share"": 0.004628244362885329, ""text_to_graphic_ratio"": 0.00464976460972905}, ""predicted_score"": 5.958313941955566, ""gain"": 0.36342477798461914}]","{""feature"": ""word_count"", ""current_value"": 14.0, ""suggested_value"": 2.0, ""direction"": ""decrease"", ""coupled_feature_updates"": {""word_count"": 2.0, ""char_count"": 10.0, ""text_block_count"": 1.0, ""text_area_frac"": 0.0023347612693081716, ""background_area_frac"": 0.7481158024592639, ""text_share"": 0.009269185173597805, ""text_to_graphic_ratio"": 0.009355906806251878}, ""predicted_score"": 6.408766269683838, ""gain"": 0.8138771057128906}",word_count,0.8138771057128906,decrease,"['text_area_frac', 'graphic_area_frac', 'word_count', 'mean_text_height_frac']",The model suggests decreasing the amount of text as the most promising change for this poster.,Largest estimated gain among tested feature-group changes; not a causal diagnosis.
overall_rating-00001,5.91370153427124,"[{""feature"": ""graphic_area_frac"", ""current_value"": 0.1840149456521739, ""suggested_value"": 0.14488246548566117, ""direction"": ""decrease"", ""coupled_feature_updates"": {""graphic_area_frac"": 0.14488246548566117, ""background_area_frac"": 0.8050988524491215, ""text_share"": 0.2566361598879763, ""text_to_graphic_ratio"": 0.34523627063875156}, ""predicted_score"": 5.990871906280518, ""gain"": 0.07717037200927734}, {""feature"": ""text_area_frac"", ""current_value"": 0.0500186820652173, ""suggested_value"": 0.04722671508789056, ""direction"": ""decrease"", ""coupled_feature_updates"": {""text_area_frac"": 0.04722671508789056, ""background_area_frac"": 0.7687583392599355, ""text_share"": 0.20423099772223766, ""text_to_graphic_ratio"": 0.2566460833956322}, ""predicted_score"": 5.922824382781982, ""gain"": 0.009122848510742188}, {""feature"": ""mean_text_height_frac"", ""current_value"": 0.067138671875, ""suggested_value"": 0.07097372555865916, ""direction"": ""increase"", ""coupled_feature_updates"": {""text_area_frac"": 0.05287581828118431, ""background_area_frac"": 0.7631092360666418, ""text_share"": 0.22320759747332006, ""text_to_graphic_ratio"": 0.28734523760439806, ""mean_text_height_frac"": 0.07097372555865916, ""max_text_height_frac"": 0.07845822752666322, ""text_height_std_frac"": 0.008366932532596133}, ""predicted_score"": 5.811594486236572, ""gain"": -0.10210704803466797}]","{""feature"": ""graphic_area_frac"", ""current_value"": 0.1840149456521739, ""suggested_value"": 0.14488246548566117, ""direction"": ""decrease"", ""coupled_feature_updates"": {""graphic_area_frac"": 0.14488246548566117, ""background_area_frac"": 0.8050988524491215, ""text_share"": 0.2566361598879763, ""text_to_graphic_ratio"": 0.34523627063875156}, ""predicted_score"": 5.990871906280518, ""gain"": 0.07717037200927734}",graphic_area_frac,0.07717037200927734,decrease,"['text_area_frac', 'graphic_area_frac', 'word_count', 'mean_text_height_frac']",The model suggests decreasing graphic coverage as the most promising change for this poster.,Largest estimated gain among tested feature-group changes; not a causal diagnosis.
overall_rating-00002,6.268612384796143,"[{""feature"": ""graphic_area_frac"", ""current_value"": 0.2253314545892169, ""suggested_value"": 0.14488246548566117, ""direction"": ""decrease"", ""coupled_feature_updates"": {""graphic_area_frac"": 0.14488246548566117, ""background_area_frac"": 0.825097326314724, ""text_share"": 0.17163950422869967, ""text_to_graphic_ratio"": 0.20720387452673397}, ""predicted_score"": 6.503313064575195, ""gain"": 0.23470067977905273}, {""feature"": ""mean_text_height_frac"", ""current_value"": 0.0472005208333333, ""suggested_value"": 0.00997266006842618, ""direction"": ""decrease"", ""coupled_feature_updates"": {""text_area_frac"": 0.00634275483135588, ""background_area_frac"": 0.7683257905794272, ""text_share"": 0.0273779064455184, ""text_to_graphic_ratio"": 0.028148554949502413, ""mean_text_height_frac"": 0.00997266006842618, ""max_text_height_frac"": 0.012792515673981176, ""text_height_std_frac"": 0.003420919551723327}, ""predicted_score"": 6.406454563140869, ""gain"": 0.13784217834472656}, {""feature"": ""text_area_frac"", ""current_value"": 0.0300202081996148, ""suggested_value"": 0.0011603461371527204, ""direction"": ""decrease"", ""coupled_feature_updates"": {""text_area_frac"": 0.0011603461371527204, ""background_area_frac"": 0.7735081992736303, ""text_share"": 0.005123126459463155, ""text_to_graphic_ratio"": 0.00514950804035793}, ""predicted_score"": 6.310242176055908, ""gain"": 0.041629791259765625}]","{""feature"": ""graphic_area_frac"", ""current_value"": 0.2253314545892169, ""suggested_value"": 0.14488246548566117, ""direction"": ""decrease"", ""coupled_feature_updates"": {""graphic_area_frac"": 0.14488246548566117, ""background_area_frac"": 0.825097326314724, ""text_share"": 0.17163950422869967, ""text_to_graphic_ratio"": 0.20720387452673397}, ""predicted_score"": 6.503313064575195, ""gain"": 0.23470067977905273}",graphic_area_frac,0.23470067977905273,decrease,"['text_area_frac', 'graphic_area_frac', 'word_count', 'mean_text_height_frac']",The model suggests decreasing graphic coverage as the most promising change for this poster.,Largest estimated gain among tested feature-group changes; not a causal diagnosis.
overall_rating-00003,4.617603778839111,"[{""feature"": ""graphic_area_frac"", ""current_value"": 0.3415421875, ""suggested_value"": 0.14488246548566117, ""direction"": ""decrease"", ""coupled_feature_updates"": {""graphic_area_frac"": 0.14488246548566117, ""background_area_frac"": 0.8263065970143388, ""text_share"": 0.16587237629501922, ""text_to_graphic_ratio"": 0.19885731101705598}, ""predicted_score"": 5.7768874168396, ""gain"": 1.1592836380004883}, {""feature"": ""text_area_frac"", ""current_value"": 0.0288109375, ""suggested_value"": 0.0011603461371527204, ""direction"": ""decrease"", ""coupled_feature_updates"": {""text_area_frac"": 0.0011603461371527204, ""background_area_frac"": 0.6572974663628472, ""text_share"": 0.003385869736175555, ""text_to_graphic_ratio"": 0.0033973727979145197}, ""predicted_score"": 5.170993328094482, ""gain"": 0.5533895492553711}, {""feature"": ""word_count"", ""current_value"": 6.0, ""suggested_value"": 1.0, ""direction"": ""decrease"", ""coupled_feature_updates"": {""word_count"": 1.0, ""char_count"": 8.0, ""text_block_count"": 1.0, ""text_area_frac"": 0.004801822916666667, ""background_area_frac"": 0.6536559895833334, ""text_share"": 0.013864316322057566, ""text_to_graphic_ratio"": 0.014059238045568433}, ""predicted_score"": 5.121697902679443, ""gain"": 0.504094123840332}]","{""feature"": ""graphic_area_frac"", ""current_value"": 0.3415421875, ""suggested_value"": 0.14488246548566117, ""direction"": ""decrease"", ""coupled_feature_updates"": {""graphic_area_frac"": 0.14488246548566117, ""background_area_frac"": 0.8263065970143388, ""text_share"": 0.16587237629501922, ""text_to_graphic_ratio"": 0.19885731101705598}, ""predicted_score"": 5.7768874168396, ""gain"": 1.1592836380004883}",graphic_area_frac,1.1592836380004883,decrease,"['text_area_frac', 'graphic_area_frac', 'word_count', 'mean_text_height_frac']",The model suggests decreasing graphic coverage as the most promising change for this poster.,Largest estimated gain among tested feature-group changes; not a causal diagnosis.
overall_rating-00004,5.550015926361084,"[{""feature"": ""mean_text_height_frac"", ""current_value"": 0.037769214527027, ""suggested_value"": 0.05371093750000003, ""direction"": ""increase"", ""coupled_feature_updates"": {""text_area_frac"": 0.4757220577876307, ""background_area_frac"": 0.29671089375837245, ""text_share"": 0.676424607697802, ""text_to_graphic_ratio"": 2.0904698681971032, ""mean_text_height_frac"": 0.05371093750000003, ""max_text_height_frac"": 0.22358913674877734, ""text_height_std_frac"": 0.06440760317656521}, ""predicted_score"": 5.734500408172607, ""gain"": 0.18448448181152344}, {""feature"": ""graphic_area_frac"", ""current_value"": 0.2275670484539969, ""suggested_value"": 0.20141025119357633, ""direction"": ""decrease"", ""coupled_feature_updates"": {""graphic_area_frac"": 0.20141025119357633, ""background_area_frac"": 0.4640648030107978, ""text_share"": 0.6241891700245352, ""text_to_graphic_ratio"": 1.6609132048304356}, ""predicted_score"": 5.558439254760742, ""gain"": 0.008423328399658203}, {""feature"": ""text_area_frac"", ""current_value"": 0.3345249457956259, ""suggested_value"": 0.0011603461371527204, ""direction"": ""decrease"", ""coupled_feature_updates"": {""text_area_frac"": 0.0011603461371527204, ""background_area_frac"": 0.7712726054088503, ""text_share"": 0.0050730527457230916, ""text_to_graphic_ratio"": 0.005098919834992221}, ""predicted_score"": 5.24342155456543, ""gain"": -0.3065943717956543}]","{""feature"": ""mean_text_height_frac"", ""current_value"": 0.037769214527027, ""suggested_value"": 0.05371093750000003, ""direction"": ""increase"", ""coupled_feature_updates"": {""text_area_frac"": 0.4757220577876307, ""background_area_frac"": 0.29671089375837245, ""text_share"": 0.676424607697802, ""text_to_graphic_ratio"": 2.0904698681971032, ""mean_text_height_frac"": 0.05371093750000003, ""max_text_height_frac"": 0.22358913674877734, ""text_height_std_frac"": 0.06440760317656521}, ""predicted_score"": 5.734500408172607, ""gain"": 0.18448448181152344}",mean_text_height_frac,0.18448448181152344,increase,"['text_area_frac', 'graphic_area_frac', 'word_count', 'mean_text_height_frac']",The model suggests increasing text size as the most promising change for this poster.,Largest estimated gain among tested feature-group changes; not a causal diagnosis.
overall_rating-00005,6.488512992858887,"[{""feature"": ""text_area_frac"", ""current_value"": 0.0296424720080763, ""suggested_value"": 0.021592610713670142, ""direction"": ""decrease"", ""coupled_feature_updates"": {""text_area_frac"": 0.021592610713670142, ""background_area_frac"": 0.9078396350645972, ""text_share"": 0.2342938933543163, ""text_to_graphic_ratio"": 0.3059840992788783}, ""predicted_score"": 6.501420021057129, ""gain"": 0.012907028198242188}, {""feature"": ""graphic_area_frac"", ""current_value"": 0.0705677542217327, ""suggested_value"": 0.14488246548566117, ""direction"": ""increase"", ""coupled_feature_updates"": {""graphic_area_frac"": 0.14488246548566117, ""background_area_frac"": 0.8254750625062625, ""text_share"": 0.169846627271475, ""text_to_graphic_ratio"": 0.20459668399976239}, ""predicted_score"": 6.47450590133667, ""gain"": -0.014007091522216797}, {""feature"": ""mean_text_height_frac"", ""current_value"": 0.035888671875, ""suggested_value"": 0.034326171875000006, ""direction"": ""decrease"", ""coupled_feature_updates"": {""text_area_frac"": 0.028351915403643048, ""background_area_frac"": 0.9010803303746243, ""text_share"": 0.28661554886926116, ""text_to_graphic_ratio"": 0.4017687074829927, ""mean_text_height_frac"": 0.034326171875000006, ""max_text_height_frac"": 0.0354937287414966, ""text_height_std_frac"": 0.0007744696095143993}, ""predicted_score"": 6.4601640701293945, ""gain"": -0.028348922729492188}]","{""feature"": ""text_area_frac"", ""current_value"": 0.0296424720080763, ""suggested_value"": 0.021592610713670142, ""direction"": ""decrease"", ""coupled_feature_updates"": {""text_area_frac"": 0.021592610713670142, ""background_area_frac"": 0.9078396350645972, ""text_share"": 0.2342938933543163, ""text_to_graphic_ratio"": 0.3059840992788783}, ""predicted_score"": 6.501420021057129, ""gain"": 0.012907028198242188}",text_area_frac,0.012907028198242188,decrease,"['text_area_frac', 'graphic_area_frac', 'word_count', 'mean_text_height_frac']",The model suggests decreasing text coverage as the most promising change for this poster.,Largest estimated gain among tested feature-group changes; not a causal diagnosis.
overall_rating-00006,6.25326681137085,"[{""feature"": ""graphic_area_frac"", ""current_value"": 0.9460833260182584, ""suggested_value"": 0.14488246548566117, ""direction"": ""decrease"", ""coupled_feature_updates"": {""graphic_area_frac"": 0.14488246548566117, ""background_area_frac"": 0.8551175345143388}, ""predicted_score"": 6.255179405212402, ""gain"": 0.0019125938415527344}]","{""feature"": ""graphic_area_frac"", ""current_value"": 0.9460833260182584, ""suggested_value"": 0.14488246548566117, ""direction"": ""decrease"", ""coupled_feature_updates"": {""graphic_area_frac"": 0.14488246548566117, ""background_area_frac"": 0.8551175345143388}, ""predicted_score"": 6.255179405212402, ""gain"": 0.0019125938415527344}",graphic_area_frac,0.0019125938415527344,decrease,"['text_area_frac', 'graphic_area_frac', 'word_count', 'mean_text_height_frac']",The model suggests decreasing graphic coverage as the most promising change for this poster.,Largest estimated gain among tested feature-group changes; not a causal diagnosis.
overall_rating-00007,6.021712779998779,"[{""feature"": ""word_count"", ""current_value"": 8.0, ""suggested_value"": 1.0, ""direction"": ""decrease"", ""coupled_feature_updates"": {""word_count"": 1.0, ""char_count"": 3.0, ""text_block_count"": 1.0, ""text_area_frac"": 0.004302222539113425, ""background_area_frac"": 0.41473221561277707, ""text_share"": 0.007350861697637885, ""text_to_graphic_ratio"": 0.007405297011801569}, ""predicted_score"": 6.479518890380859, ""gain"": 0.4578061103820801}, {""feature"": ""graphic_area_frac"", ""current_value"": 0.5809655618481095, ""suggested_value"": 0.14488246548566117, ""direction"": ""decrease"", ""coupled_feature_updates"": {""graphic_area_frac"": 0.14488246548566117, ""background_area_frac"": 0.8206997542014314, ""text_share"": 0.19195612454192282, ""text_to_graphic_ratio"": 0.23755656143436962}, ""predicted_score"": 6.402334213256836, ""gain"": 0.38062143325805664}, {""feature"": ""mean_text_height_frac"", ""current_value"": 0.0335693359375, ""suggested_value"": 0.00997266006842618, ""direction"": ""decrease"", ""coupled_feature_updates"": {""text_area_frac"": 0.010224712934728316, ""background_area_frac"": 0.4088097252171622, ""text_share"": 0.01729513046960078, ""text_to_graphic_ratio"": 0.01759951640197481, ""mean_text_height_frac"": 0.00997266006842618, ""max_text_height_frac"": 0.011604549897805008, ""text_height_std_frac"": 0.0027057578842517396}, ""predicted_score"": 6.212106704711914, ""gain"": 0.19039392471313477}]","{""feature"": ""word_count"", ""current_value"": 8.0, ""suggested_value"": 1.0, ""direction"": ""decrease"", ""coupled_feature_updates"": {""word_count"": 1.0, ""char_count"": 3.0, ""text_block_count"": 1.0, ""text_area_frac"": 0.004302222539113425, ""background_area_frac"": 0.41473221561277707, ""text_share"": 0.007350861697637885, ""text_to_graphic_ratio"": 0.007405297011801569}, ""predicted_score"": 6.479518890380859, ""gain"": 0.4578061103820801}",word_count,0.4578061103820801,decrease,"['text_area_frac', 'graphic_area_frac', 'word_count', 'mean_text_height_frac']",The model suggests decreasing the amount of text as the most promising change for this poster.,Largest estimated gain among tested feature-group changes; not a causal diagnosis.
overall_rating-00008,5.126012802124023,"[{""feature"": ""graphic_area_frac"", ""current_value"": 0.6770443713803089, ""suggested_value"": 0.14488246548566117, ""direction"": ""decrease"", ""coupled_feature_updates"": {""graphic_area_frac"": 0.14488246548566117, ""background_area_frac"": 0.8551175345143388}, ""predicted_score"": 5.3819756507873535, ""gain"": 0.2559628486633301}]","{""feature"": ""graphic_area_frac"", ""current_value"": 0.6770443713803089, ""suggested_value"": 0.14488246548566117, ""direction"": ""decrease"", ""coupled_feature_updates"": {""graphic_area_frac"": 0.14488246548566117, ""background_area_frac"": 0.8551175345143388}, ""predicted_score"": 5.3819756507873535, ""gain"": 0.2559628486633301}",graphic_area_frac,0.2559628486633301,decrease,"['text_area_frac', 'graphic_area_frac', 'word_count', 'mean_text_height_frac']",The model suggests decreasing graphic coverage as the most promising change for this poster.,Largest estimated gain among tested feature-group changes; not a causal diagnosis.
overall_rating-00009,6.238766193389893,"[{""feature"": ""word_count"", ""current_value"": 6.0, ""suggested_value"": 1.0, ""direction"": ""decrease"", ""coupled_feature_updates"": {""word_count"": 1.0, ""char_count"": 6.0, ""text_block_count"": 1.0, ""text_area_frac"": 0.00121158584024895, ""background_area_frac"": 0.9111692816390042, ""text_share"": 0.013639266490283604, ""text_to_graphic_ratio"": 0.013827868473384691}, ""predicted_score"": 6.4830322265625, ""gain"": 0.24426603317260742}, {""feature"": ""graphic_area_frac"", ""current_value"": 0.0876191325207468, ""suggested_value"": 0.14488246548566117, ""direction"": ""increase"", ""coupled_feature_updates"": {""graphic_area_frac"": 0.14488246548566117, ""background_area_frac"": 0.8478480194728452, ""text_share"": 0.047777984987821404, ""text_to_graphic_ratio"": 0.050175257696820144}, ""predicted_score"": 6.36445426940918, ""gain"": 0.1256880760192871}, {""feature"": ""text_area_frac"", ""current_value"": 0.0072695150414937, ""suggested_value"": 0.0011603461371527204, ""direction"": ""decrease"", ""coupled_feature_updates"": {""text_area_frac"": 0.0011603461371527204, ""background_area_frac"": 0.9112205213421004, ""text_share"": 0.01306998142694628, ""text_to_graphic_ratio"": 0.013243068080798098}, ""predicted_score"": 6.344399452209473, ""gain"": 0.10563325881958008}]","{""feature"": ""word_count"", ""current_value"": 6.0, ""suggested_value"": 1.0, ""direction"": ""decrease"", ""coupled_feature_updates"": {""word_count"": 1.0, ""char_count"": 6.0, ""text_block_count"": 1.0, ""text_area_frac"": 0.00121158584024895, ""background_area_frac"": 0.9111692816390042, ""text_share"": 0.013639266490283604, ""text_to_graphic_ratio"": 0.013827868473384691}, ""predicted_score"": 6.4830322265625, ""gain"": 0.24426603317260742}",word_count,0.24426603317260742,decrease,"['text_area_frac', 'graphic_area_frac', 'word_count', 'mean_text_height_frac']",The model suggests decreasing the amount of text as the most promising change for this poster.,Largest estimated gain among tested feature-group changes; not a causal diagnosis.
