id,image_path,overall_design_score
overall_rating-00123,images/78b8b12aa716403aae4dfe821dafccd1.png,5.2
overall_rating-00172,images/a5cc21ddf0a54e5d97f6f269247aaad0.png,5.1
overall_rating-00098,images/644a6a84b6f742ddadbf30b00a287549.png,4.2
overall_rating-00184,images/bcad2eb5626042d3a0fd0d533e5f85a2.png,4.4
overall_rating-00214,images/d4f1411998424d16a0167b750f8d7ac7.png,5.5
overall_rating-00082,images/4dfff34bd4774eb5bb6632742c56fc65.png,4.5
overall_rating-00175,images/a8ebc0facd794f39b9e14ad0025353ff.png,5.4
overall_rating-00114,images/6f9c16ad7a0c46ef88c099b0ac131d76.png,4.3
overall_rating-00043,images/000050.jpg,6.5
overall_rating-00213,images/d3bb12dda86746cba760b390eedd1bfe.png,5.3
overall_rating-00070,images/230d79d416364cbab0b7c1a7aaabd18f.png,3.4
overall_rating-00168,images/a4318a4cb8664469856a98c50a0cd467.png,4.1
overall_rating-00140,images/8b167c791aa542bd9a5efcab358a7a5f.png,4.7
overall_rating-00189,images/c22c239c391c49369f00e0185eae4370.png,4.7
overall_rating-00217,images/e2ca9fa78dae47a696c0452958f23ce5.png,4.9
overall_rating-00050,images/000059.jpg,6.8
overall_rating-00116,images/7195a0cb2e594acfad46e39b2ef331de.png,3.4
overall_rating-00049,images/000057.jpg,5.8
overall_rating-00087,images/5626a0463d9a468c974088ed89b6d156.png,2.0
overall_rating-00182,images/b88fb91f318347a8a223efe74634c235.png,4.6
overall_rating-00007,images/000008.jpg,6.7
overall_rating-00020,images/000022.jpg,6.5
overall_rating-00212,images/d2ae7cef7d6c466ebcad674d4c42f4b6.png,4.1
overall_rating-00045,images/000052.jpg,5.0
overall_rating-00022,images/000024.jpg,7.0
overall_rating-00211,images/d1dd324043004842a3b784ab204fa515.png,3.5
overall_rating-00115,images/6fb71b5134a446f994287f1408354e22.png,3.5
overall_rating-00203,images/cb6cb84e49764c19af6f57441728cb85.png,5.5
overall_rating-00110,images/6da895a65f0a400491abf53a909785ce.png,3.4
overall_rating-00206,images/cd67ca69376c437996d0bfab79c1c523.png,3.8
overall_rating-00130,images/805bfc2cf9e84d53a12a9d7824a56b0e.png,4.5
overall_rating-00001,images/000002.jpg,6.6
overall_rating-00072,images/26792c7a833a4a80a1e51993f103ef92.png,4.4
overall_rating-00148,images/9152af0b31904f91a052be98af7e3db7.png,3.0
overall_rating-00198,images/c800aa6b6b684bf4924ce9773107b167.png,4.8
overall_rating-00025,images/000027.jpg,6.0
overall_rating-00165,images/9fa945a5a60347ce9c8c7e1113e22a18.png,6.3
overall_rating-00068,images/204dbe558c094a9aa2e2998c3d0839c4.png,3.4
overall_rating-00183,images/b9c6daa0c5924c2d98dc8465591d1106.png,4.4
overall_rating-00063,images/1014019d4c76464897456641866b6767.png,3.8
overall_rating-00044,images/000051.jpg,5.8
overall_rating-00162,images/9eb1cd8c3b1f41d891ca73c753d7dd8b.png,3.9
overall_rating-00171,images/a58adc56b1da4127845593908c7cfb76.png,4.7
overall_rating-00106,images/6a61d938b86945dda125617ace79b5c5.png,4.5
overall_rating-00093,images/61995654bef549f59fdcafcb1769c47b.png,4.8
overall_rating-00076,images/379c72319e694047a39524bd3c67daef.png,4.8
overall_rating-00069,images/213552be050848c1a22eb9a135d9a5b9.png,3.5
overall_rating-00099,images/6708b7ed17574b3fbdca48b0013069ae.png,3.4
overall_rating-00121,images/75bc1fcdd25648d89823ec216e2e2961.png,3.5
overall_rating-00149,images/920cb9c20c434a8f84d3e2cbc189d809.png,3.0
overall_rating-00091,images/60543c6affa94f18b25a3c361a63bc11.png,4.0
overall_rating-00032,images/000037.jpg,6.8
overall_rating-00147,images/90b9a2237ab5460b85e13b9bc40ca44f.png,5.2
overall_rating-00017,images/000018.jpg,6.8
overall_rating-00031,images/000036.jpg,7.0
overall_rating-00080,images/4394f6f104e74eb6b061c33c9d520b74.png,4.8
overall_rating-00046,images/000053.jpg,5.6
overall_rating-00150,images/924734f72ba94a2285ece12dd9b66cda.png,3.8
overall_rating-00096,images/630c3724e33c4fe3a1102b1295da2e6f.png,4.9
overall_rating-00054,images/000063.jpg,6.0
overall_rating-00065,images/150fc7bb6ee8495689291b5af06b5ccd.png,4.4
overall_rating-00201,images/cacb132dff2f427b8f7dbbf7be393c21.png,4.0
overall_rating-00095,images/62d306e360904e2b84a884bfe458cf35.png,3.0
overall_rating-00086,images/55152f97f7eb4e6996cca2d29a609a3c.png,7.0
